ct,lengths
1,67
2,114
3,64
4,134
5,135
6,138
7,77
8,92
9,137
10,91
11,108
12,99
13,139
14,119
15,68
16,94
17,121
18,76
19,121
20,45
21,92
22,134
23,137
24,114
25,85
26,142
27,99
28,110
29,133
30,144
31,104
32,85
33,119
34,80
35,138
36,140
37,43
38,89
39,97
40,96
41,126
42,39
43,140
44,85
45,54
46,136
47,129
48,116
49,118
50,62
51,144
52,139
53,104
54,130
55,139
56,93
57,87
58,93
59,105
60,121
61,136
62,114
63,124
64,106
65,103
66,40
67,135
68,139
69,138
70,127
71,135
72,140
73,137
74,135
75,138
76,114
77,134
78,135
79,84
80,138
81,139
82,140
83,128
84,134
85,137
86,140
87,39
88,117
89,134
90,95
91,144
92,142
93,138
94,129
95,143
96,115
97,97
98,105
99,60
100,140
101,85
102,78
103,140
104,86
105,138
106,106
107,140
108,134
109,135
110,140
111,137
112,105
113,135
114,44
115,100
116,133
117,140
118,107
119,98
120,94
121,67
122,112
123,139
124,89
125,39
126,78
127,124
128,121
129,114
130,40
131,37
132,134
133,140
134,114
135,120
136,118
137,130
138,76
139,39
140,95
141,80
142,100
143,74
144,140
145,144
146,140
147,130
148,138
149,135
150,139
151,139
152,140
153,120
154,84
155,137
156,135
157,136
158,50
159,140
160,40
161,141
162,66
163,137
164,72
165,124
166,128
167,43
168,140
169,140
170,138
171,138
172,132
173,126
174,139
175,137
176,126
177,101
178,77
179,104
180,96
181,71
182,137
183,140
184,140
185,140
186,144
187,139
188,140
189,140
190,136
191,134
192,137
193,139
194,140
195,119
196,131
197,140
198,140
199,139
200,60
201,75
202,135
203,95
204,134
205,125
206,125
207,115
208,139
209,132
210,140
211,131
212,136
213,140
214,139
215,114
216,140
217,82
218,139
219,61
220,133
221,68
222,74
223,118
224,53
225,90
226,57
227,136
228,138
229,140
230,83
231,49
232,35
233,56
234,137
235,135
236,108
237,72
238,71
239,63
240,48
241,51
242,98
243,51
244,117
245,140
246,132
247,116
248,115
249,139
250,80
251,95
252,94
253,133
254,131
255,140
256,96
257,70
258,140
259,140
260,117
261,137
262,137
263,136
264,140
265,140
266,126
267,140
268,137
269,140
270,138
271,136
272,140
273,127
274,140
275,115
276,142
277,133
278,125
279,138
280,120
281,137
282,130
283,80
284,113
285,97
286,138
287,126
288,115
289,127
290,128
291,91
292,99
293,56
294,121
295,140
296,111
297,45
298,140
299,53
300,100
301,74
302,84
303,134
304,113
305,100
306,57
307,130
308,139
309,147
310,128
311,116
312,81
313,140
314,51
315,55
316,136
317,125
318,139
319,140
320,113
321,138
322,80
323,67
324,72
325,124
326,133
327,111
328,140
329,76
330,75
331,47
332,58
333,139
334,131
335,126
336,137
337,135
338,127
339,140
340,127
341,140
342,135
343,126
344,128
345,114
346,139
347,135
348,138
349,140
350,75
351,90
352,119
353,99
354,109
355,134
356,139
357,67
358,138
359,140
360,127
361,101
362,102
363,95
364,136
365,139
366,135
367,140
368,140
369,137
370,52
371,81
372,48
373,93
374,83
375,138
376,48
377,140
378,132
379,136
380,43
381,140
382,119
383,128
384,135
385,140
386,67
387,140
388,109
389,121
390,53
391,68
392,132
393,116
394,122
395,136
396,116
397,79
398,65
399,137
400,90
401,140
402,47
403,98
404,124
405,116
406,78
407,140
408,140
409,137
410,138
411,89
412,104
413,115
414,116
415,132
416,136
417,140
418,126
419,131
420,140
421,139
422,68
423,140
424,134
425,135
426,127
427,134
428,137
429,137
430,102
431,140
432,138
433,140
434,111
435,103
436,140
437,97
438,136
439,140
440,135
441,91
442,97
443,85
444,105
445,141
446,103
447,120
448,135
449,104
450,94
451,140
452,138
453,134
454,135
455,119
456,121
457,132
458,124
459,139
460,143
461,74
462,123
463,99
464,116
465,140
466,136
467,133
468,58
469,34
470,132
471,140
472,125
473,65
474,132
475,105
476,81
477,140
478,115
479,122
480,102
481,114
482,136
483,114
484,140
485,137
486,133
487,129
488,134
489,139
490,99
491,56
492,79
493,99
494,102
495,37
496,114
497,76
498,49
499,69
500,46
501,45
502,117
503,48
504,50
505,140
506,120
507,138
508,73
509,137
510,105
511,89
512,138
513,118
514,135
515,54
516,75
517,111
518,84
519,140
520,126
521,139
522,94
523,136
524,71
525,135
526,14
527,136
528,109
529,140
530,129
531,134
532,140
533,135
534,115
535,139
536,125
537,134
538,140
539,65
540,139
541,95
542,56
543,128
544,139
545,70
546,137
547,60
548,138
549,139
550,139
551,137
552,132
553,138
554,66
555,138
556,106
557,92
558,139
559,134
560,134
561,139
562,138
563,101
564,131
565,71
566,77
567,75
568,141
